station_id,route_id,arsid,sta_ord
106000101,100100188,07195,1
106000101,100100047,07195,1
115000037,100100098,16133,1
115000037,100100306,16133,1
106000101,100100175,07195,1
115000037,100100330,16133,1
113000020,100100073,14110,1
115000037,115000005,16133,1
115000037,115000007,16133,1
115000037,100100495,16133,1
110000391,100100008,11493,1
114000190,100100289,15293,1
117000132,100100249,18219,1
117000132,100100276,18219,1
117000132,100100277,18219,1
123000354,100100221,24446,1
123000354,100100220,24446,1
111000907,100100364,35331,1
111000907,100100552,35331,1
111000907,100100448,35331,1
111000907,100100360,35331,1
111000907,100100339,35331,1
111000907,100100447,35331,1
111000907,100100499,35331,1
111000907,100100462,35331,1
111000907,100100337,35331,1
111000907,100100363,35331,1
111000907,100100449,35331,1
111000907,100100446,35331,1
111000907,100100340,35331,1
111000907,100100450,35331,1
114000190,100100088,15293,1
114000190,100100093,15293,1
108000123,100100566,09211,1
106000469,100100595,07462,1
114000271,100100299,15378,1
114000271,100100087,15378,1
114000271,100100331,15378,1
114000271,100100588,15378,1
110000308,100100156,11409,1
110000308,100100157,11409,1
110000308,100100147,11409,1
108000066,100100132,09154,1
108000066,100100024,09154,1
108000066,100100139,09154,1
108000067,100100177,09155,1
108000067,100100027,09155,1
120000048,116000005,21149,1
120000233,100100258,21335,1
120000233,100100257,21335,1
120000233,100100259,21335,1
103000183,100100210,04286,1
103000183,100100189,04286,1
103000183,100100209,04286,1
103000183,100100201,04286,1
218001068,111000023,35900,2
121900014,121900011,22389,2
213000231,100100421,38619,2
206000319,113000004,47054,2
110000136,110900004,11236,2
119000126,119900009,20221,2
101000054,106000004,02153,2
213000246,100100293,38076,2
113000080,113900004,14171,2
113000080,113900003,14171,2
113000026,100100073,14116,2
219000057,111000022,36656,2
219000057,100100400,36656,2
108900147,108900003,09513,2
110000325,100100159,11426,2
110000286,100100549,11387,2
108000049,100100583,09137,2
113900017,113900011,14512,2
112000154,100100338,13237,2
104000097,100100211,05190,2
104000097,100100198,05190,2
115000300,100100320,16413,2
112900223,112900004,13520,2
118900006,118900004,19507,2
118900005,118900005,19506,2
112900181,112900014,13522,2
100900029,107000004,01513,2
100900032,100900005,01511,2
100900086,100900006,01576,2
100900038,100900009,01883,2
115000232,111000008,16329,2
115000232,100100099,16329,2
102900083,102900003,03504,2
111000225,111000017,12315,2
111000225,100100448,12315,2
111000225,100100360,12315,2
111000225,100100339,12315,2
111000225,100100447,12315,2
111000225,100100462,12315,2
111000225,100100337,12315,2
112900237,112900002,13944,2
116000032,100100275,17118,2
116000158,100100292,17252,2
111000014,100100419,12014,2
112000230,100100342,13313,2
116000019,114000002,17105,2
117000276,100100278,18740,2
120000151,108000001,21253,2
206000405,100100389,47167,2
206000405,100100392,47167,2
218000693,111000021,35560,2
225000191,100100279,40029,2
225000191,100100265,40029,2
117000124,100100286,18210,2
117000124,100100273,18210,2
110000325,100100037,11426,2
213000016,100100313,38080,2
213000016,100100298,38080,2
122000326,100100500,23433,2
100000415,100000020,01119,2
123900008,123900001,24512,2
108900150,108900010,09507,2
118000302,114900005,19393,2
113900025,113900008,14520,2
108000186,108900012,09274,2
113900305,113900009,14503,2
113900245,113900012,14511,2
114000218,100100602,15322,2
114000218,116000002,15322,2
114000218,100100453,15322,2
114000218,100100451,15322,2
112000093,124000008,13176,2
232000024,115000011,41675,2
100900221,100900004,01618,2
218000282,100100105,35071,2
232000432,115000013,35278,2
113000198,101000006,14292,2
235000245,109000004,39439,2
123900057,123900003,24557,2
109000015,122000002,10015,2
123000700,103000005,24921,2
207000274,109000006,61118,2
121900243,121900009,22840,2
218000437,111000010,35220,2
218000437,100100107,35220,2
218000437,111000028,35220,2
113000513,123000015,00006,2
121900331,121900002,22095,2
109000058,109900005,10143,2
109000058,109900006,10143,2
120000057,100100254,21158,2
120000057,100100077,21158,2
123000354,100100051,24446,2
123000354,100100612,24446,2
123000354,100100062,24446,2
123000356,100100501,24448,2
123000356,100100229,24448,2
123000356,100100063,24448,2
123000356,100100438,24448,2
106000087,100100048,07181,2
106000087,100100203,07181,2
119900258,119900016,20517,2
118000335,114000003,19427,2
118000335,100100094,19427,2
123000541,100100071,24488,2
119900071,119900017,20518,2
119900071,119900018,20518,2
119900065,119900019,20524,2
119900264,119900020,20528,2
206000219,107000008,47161,2
114000123,100100291,15226,2
114000123,100100290,15226,2
115000035,115000005,16131,2
115000035,100100495,16131,2
115000035,100100098,16131,2
115000035,100100330,16131,2
115000035,115000007,16131,2
115000035,100100306,16131,2
107000057,110900005,08147,2
111901115,111900010,12857,2
107900048,107900001,08467,2
118000237,114900006,19328,2
120000458,120900007,21370,2
116900091,116900007,17483,2
108000088,108900007,09176,2
114000423,114900003,15419,2
122000706,124000013,23989,2
112000153,108900014,13236,2
115000093,100100089,16190,2
111000225,100100363,12315,2
111000225,100100449,12315,2
111000225,100100450,12315,2
103900141,103900002,04766,2
112000123,100100346,13206,2
112000123,100100349,13206,2
119900062,119900013,20529,2
108900146,108900002,09514,2
112000119,100000027,13202,2
122000264,100100604,23368,2
122000264,100100409,23368,2
122000264,100100596,23368,2
122000264,100100597,23368,2
122000264,100100605,23368,2
122000607,100100509,23814,2
114900080,114900002,15503,2
114900080,114900001,15503,2
108000372,100100137,09310,2
